date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:10	199/199	---M-Z	200	added ('OK')	text/plain	date:Wed,%2002%20Nov%202022%2020:56:09%20GMT	https://validthemes.tech/robots.txt		(from )
09:59:12	195255/195255	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2002:59:11%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/index.html	(from )
09:59:13	94889/94889	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20Nov%202022%2001:26:46%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:13	13191/13191	---MCZ	200	added ('OK')	application/rss+xml	etag:%2236bd61cccfd0292785badc1a7a8fae3c%22	https://validthemes.tech/themeforest/wordpress/ambrox/feed/	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/feed/index.html	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:13	217/217	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2023:15:16%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-includes/css/classic-themes.min.css?ver=1	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-includes/css/classic-themes.min68b3.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:13	2859/2859	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Feb%202023%2009:35:00%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.4	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/contact-form-7/includes/css/styles4999.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:14	19363/19363	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2014:02:00%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:14	6395/6395	---M-Z	200	added ('OK')	application/rss+xml	etag:%2236bd61cccfd0292785badc1a7a8fae3c%22	https://validthemes.tech/themeforest/wordpress/ambrox/comments/feed/	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/comments/feed/index.html	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:14	9935/9935	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Feb%202023%2022:45:02%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.11.2	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/elementor/assets/css/frontend-legacy.min991d.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:15	136765/136765	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Feb%202023%2022:45:02%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.11.2	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/elementor/assets/css/frontend.min991d.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:15	12876/12876	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2014:02:00%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:15	1099/1099	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Feb%202023%2022:13:54%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/uploads/elementor/css/post-7.css?ver=1677104034	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/uploads/elementor/css/post-76740.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:15	120/120	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Feb%202023%2015:21:23%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/uploads/elementor/css/post-8.css?ver=1677340536	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/uploads/elementor/css/post-85ebc.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:16	613/613	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Feb%202023%2015:09:18%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/style.css?ver=1.0	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/style5152.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:16	68606/68606	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2004:00:09%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/assets/css/animate.css?ver=1.0	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/assets/css/animate5152.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:17	163828/163828	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2004:00:09%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/assets/css/bootstrap.min.css?ver=4.3.1	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/assets/css/bootstrap.min5b31.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:17	26593/26593	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2004:00:09%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/assets/css/elegant-icons.css?ver=1.0	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/assets/css/elegant-icons5152.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
09:59:17	8514/8514	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2004:00:09%20GMT	https://validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/assets/css/flaticon-set.css?ver=1.0	C:/SingWebDesign/VysingSUN/validthemes.tech/themeforest/wordpress/ambrox/wp-content/themes/ambrox/assets/css/flaticon-set5152.css	(from https://validthemes.tech/themeforest/wordpress/ambrox/)
